,mean
Arc,5.926958269248715
Arl4d,3.293555920817233
Arl5b,1.2916619526578124
Bdnf,5.442052322059272
Cdc42ep3,3.437225827707185
Cdkn1a,5.054707125460348
Cited2,4.258507905123587
Crem,6.15584388400509
Dnajb1,5.676866002476998
Dnajb5,5.536106461139066
Dusp1,5.356655858999834
Dusp14,8.181554800252748
Dusp6,5.730372730801447
Egr1,8.112706656468681
Egr2,1.4950375407534515
Egr4,3.8884712018028713
Fbxo33,5.344435365957299
Fos,4.043781596242505
Fosb,1.3082897883159783
Fosl2,2.0940965953023745
Frmd6,3.223873278697822
Gadd45b,3.7299783145785703
Gadd45g,2.2397145837854473
Gm13889,1.786101287830711
Grasp,3.9548369948671134
Homer1,7.375486290243334
Ifrd1,5.7945605140856085
Irs2,3.342562316881723
Junb,5.265857591563413
Kdm7a,5.325255602808715
Mest,4.638977238029912
Midn,1.380596166761811
Nefm,5.6218303118380195
Npas4,1.2077917160359088
Nptx2,3.6144468871860136
Nr4a1,4.75384712460183
Nr4a2,2.8717074561409848
Nr4a3,2.7213469220771693
Per1,3.4625881062534227
Phf21b,1.6271933735412822
Phlda1,3.222912086718921
Pim1,0.12300287855145733
Pim3,2.807289959819607
Ptgs2,1.6822638677040673
R3hdm1,9.10043449695959
Rheb,9.350949202047312
Sat1,4.364980537931626
Scg2,8.332039516231449
Spry2,3.184509803545027
Stk40,1.8129748335920186
Tfrc,5.064572953972938
Tiparp,2.455307093183079
Tnfaip6,0.7890962876846622
Vgf,6.513285491846987
Zdbf2,3.854788543919318
Camk1g,4.012263924696282
Cbln4,3.01536026039326
Gfod1,3.924753121366916
Klf10,5.353522569819246
Sertad1,4.238289242873717
Bhlhe40,4.404851598956426
Nab2,3.2217482905059813
Chuk,6.335124418931963
Cyp51,4.514503928632587
Lrrk2,4.040812267587515
P4ha1,5.8221159776441365
Snhg3,4.160154276061485
Trib1,2.331271303613212
Adrb1,3.6693897959623505
Hivep3,5.288104362547452
Sgk1,4.674544661651934
Ankrd33b,4.670622492565807
Gadd45a,3.222669611293551
Ina,6.273895017085765
Nrn1,9.078011059011228
Crh,0.28467715624677287
Hsph1,8.852169510997852
Hspa8,11.199374147705793
B230216N24Rik,2.6156515764663912
Cbln2,3.108196649151957
Dot1l,3.4334394122397085
Egln1,3.158810096140381
Etv5,5.64891017528043
Fam19a1,3.4545106960608485
Fmnl1,7.074450824505683
Hsd17b12,6.108384111638159
Inhba,1.8337825819958706
Mapk4,4.864081621918166
Nefl,7.059275617190903
Nhp2l1,7.219628589726756
Ntrk2,7.272282005081742
Penk,1.9748012065515634
Ppme1,7.186003486005335
Sgsm1,5.19108693497111
Tpt1,8.714966722260158
Tsnax,7.998179916096519
Pde10a,5.038556817784654
Prkg2,1.3349440715973113
Rnd3,2.118685604875551
Ier5,7.137299134214462
Atxn1,4.900283772647746
Iqgap2,2.210403629899953
Pdlim1,3.1405884086338283
Car12,1.3473308937584287
Mapk6,4.871841965155687
Nrp1,3.5758078044912884
Rcan2,5.617997659860268
Tpbg,1.6281469011658884
